Match No.,Match Date,Venue,1st Team,2nd Team,Stage,Toss Winning,Toss Decision,First Innings Score,Fall of wickets First Innings,Second Innings Score,Fall of wickets Second Innings,Winners,Method,Won by,Winning Margin,Top Scorer,Highest Score,Best Bowler,Best Bowler Figure(Wickets Taken),Best Bowler Figure(Runs Recieved),Player Of The Match,Match_Id
1st,2024-06-01,"Grand Prairie Stadium, Dallas",Canada,United States of America,Group A,United States of America,Fielding,194,5,197.0,3.0,United States of America,Normal Match,Wickets,7.0,Aaron Jones,94.0,Dilon Heyliger,1.0,19.0,Aaron Jones,T20I # 2632
2nd,2024-06-02,"Providence Stadium, Guyana",Papua New Guinea,West Indies,Group C,West Indies,Fielding,136,8,137.0,5.0,West Indies,Normal Match,Wickets,5.0,Sese Bau,50.0,Andre Russell,2.0,19.0,Roston Chase,T20I # 2633
3rd,2024-06-02,"Kensington Oval, Bridgetown, Barbados",Oman,Namibia,Group B,Namibia,Fielding,109,10,109.0,6.0,Namibia,Normal Match,Wickets,4.0,Jan Frylinck,45.0,Mehran Khan,3.0,7.0,David Wiese,T20I # 2634
4th,2024-06-03,"Nassau County International Cricket Stadium, New York",Sri Lanka,South Africa,Group D,Sri Lanka,Batting,77,10,80.0,4.0,South Africa,Normal Match,Wickets,6.0,Quinton de Kock,20.0,Anrich Nortje,4.0,7.0,Anrich Nortje,T20I # 2635
5th,2024-06-03,"Providence Stadium, Guyana",Afghanistan,Uganda,Group C,Uganda,Fielding,183,5,58.0,10.0,Afghanistan,Normal Match,Runs,125.0,Rahmanullah Gurbaz,76.0,Fazalhaq Farooqi,5.0,9.0,Fazalhaq Farooqi,T20I # 2636
6th,2024-06-04,"Kensington Oval, Bridgetown, Barbados",Scotland,England,Group B,Scotland,Batting,90,0,,,Rain,Rain,Rain,,Rain,,Rain,,,Rain,T20I # 2637
7th,2024-06-04,"Grand Prairie Stadium, Dallas",Nepal,Netherlands,Group D,Netherlands,Fielding,106,10,109.0,4.0,Netherlands,Normal Match,Wickets,6.0,Max O'Dowd,54.0,Tim Pringle,3.0,20.0,Tim Pringle,T20I # 2638
8th,2024-06-05,"Nassau County International Cricket Stadium, New York",Ireland,India,Group A,India,Fielding,96,10,97.0,2.0,India,Normal Match,Wickets,8.0,Rohit Sharma,52.0,Jasprit Bumrah,2.0,6.0,Jasprit Bumrah,T20I # 2639
9th,2024-06-05,"Providence Stadium, Guyana",Papua New Guinea,Uganda,Group C,Uganda,Fielding,77,10,78.0,8.0,Uganda,Normal Match,Wickets,3.0,Riazat Ali Shah,33.0,Alpesh Ramjani,17.0,17.0,Riazat Ali Shah,T20I # 2640
10th,2024-06-05,"Kensington Oval, Bridgetown, Barbados",Australia,Oman,Group B,Oman,Fielding,164,5,125.0,9.0,Australia,Normal Match,Runs,39.0,Marcus Stoinis,67.0,Marcus Stoinis,3.0,19.0,Marcus Stoinis,T20I # 2641
11th,2024-06-06,"Grand Prairie Stadium, Dallas",Pakistan,United States of America,Group A,United States of America,Fielding,159,7,160.0,3.0,United States of America,Normal Match,Runs,1.0,Monank Patel,50.0,Nosthush Kenjige,30.0,30.0,Monank Patel,T20I # 2642
12th,2024-06-06,"Kensington Oval, Bridgetown, Barbados",Namibia,Scotland,Group B,Namibia,Batting,155,9,157.0,5.0,Scotland,Normal Match,Wickets,5.0,Michael Leask,35.0,Brad Currie,2.0,16.0,Michael Leask,T20I # 2643
13th,2024-06-07,"Nassau County International Cricket Stadium, New York",Canada,Ireland,Group A,Ireland,Fielding,137,7,125.0,7.0,Canada,Normal Match,Runs,12.0,Nicholas Kirton,49.0,Jeremy Gordon,2.0,16.0,Nicholas Kirton,T20I # 2644
14th,2024-06-07,"Providence Stadium, Guyana",Afghanistan,New Zealand,Group C,New Zealand,Fielding,159,6,75.0,10.0,Afghanistan,Normal Match,Runs,84.0,Rahmanullah Gurbaz,80.0,Rashid Khan,4.0,17.0,Rahmanullah Gurbaz,T20I # 2645
15th,2024-06-07,"Grand Prairie Stadium, Dallas",Sri Lanka,Bangladesh,Group D,Bangladesh,Fielding,124,9,125.0,8.0,Bangladesh,Normal Match,Wickets,2.0,Pathum Nissanka,47.0,Rishad Hossain,3.0,22.0,Rishad Hossain,T20I # 2646
16th,2024-06-08,"Nassau County International Cricket Stadium, New York",Netherlands,South Africa,Group D,South Africa,Fielding,103,9,106.0,6.0,South Africa,Normal Match,Wickets,4.0,David Miller,59.0,Ottneil Baartman,4.0,11.0,David Miller,T20I # 2649
17th,2024-06-08,"Kensington Oval, Bridgetown, Barbados",Australia,England,Group B,England,Fielding,201,7,165.0,6.0,Australia,Normal Match,Runs,36.0,Jos Buttler,42.0,Adam Zampa,2.0,28.0,Adam Zampa,T20I # 2650
18th,2024-06-08,"Providence Stadium, Guyana",West Indies,Uganda,Group C,West Indies,Batting,173,5,39.0,10.0,West Indies,Normal Match,Runs,134.0,Johnson Charles,44.0,Akeal Hosein,5.0,11.0,Akeal Hosein,T20I # 2651
19th,2024-06-09,"Nassau County International Cricket Stadium, New York",India,Pakistan,Group A,Pakistan,Fielding,119,10,113.0,7.0,India,Normal Match,Runs,6.0,Rishabh Pant,42.0,Jasprit Bumrah,3.0,14.0,Jasprit Bumrah,T20I # 2658
20th,2024-06-09,"Sir Vivian Richards Stadium, North Sound, Antigua",Oman,Scotland,Group B,Oman,Batting,150,7,153.0,3.0,Scotland,Normal Match,Wickets,7.0,Brandon McMullen,31.0,Chris Greaves,1.0,2.0,Brandon McMullen,T20I # 2659
21th,2024-06-10,"Nassau County International Cricket Stadium, New York",South Africa,Bangladesh,Group D,South Africa,Batting,113,6,109.0,7.0,South Africa,Normal Match,Runs,4.0,Heinrich Klaasen,46.0,Tanzim Hasan Sakib,3.0,18.0,Heinrich Klaasen,T20I # 2664
22th,2024-06-11,"Nassau County International Cricket Stadium, New York",Canada,Pakistan,Group A,Pakistan,Fielding,106,7,107.0,3.0,Pakistan,Normal Match,Wickets,7.0,Aaron Johnson,52.0,Mohammad Amir,2.0,13.0,Mohammad Amir,T20I # 2665
